QUESTION,Grade ,Subject ,CHOICE 1 (Correct),CHOICE 2,CHOICE 3,CHOICE 4,LEARNING TIP,
How many numbers come between 46 and 51?,0,Math,4,5,6,7,Create a number line from 1 - 100. Mark the number 46. Mark the number 51. Count the numbers that come between the marks.,
Which number comes between 54 and 56?,0,Math,55,54,52,56,Create a number line from 1 - 100. Mark the number 54. Mark the number 56. Identify the number between the marks.,
There are six muffins on the table. Sienna takes 2 muffins for school. How many muffins are left on the table?,0,Math,4,2,3,6,Draw six muffins on your paper. Cross out two muffins. Count the number left.,
It is Rashaud's birthday. His brother gave him 2 balloons. His Mom gave him 3 balloons. How many balloons does Rashaud have?,0,Math,5,3,6,4,Draw 2 balloons. Draw 3 more balloons beside the first 2 balloons. Count up all the balloons to get the correct answer.,
There are 5 dogs 8 cats 2 chipmunks 6 ponies and 7 squirrels in the park. What animal is the most in the park? ,0,Math,cat,dog,chipmunk,ponies,Draw a large park. In one corner draw 5 dogs. In the second corner draw 8 cats. In the third corner draw 2 chipmunks in the last corner draw 6 ponies. In the centre draw 7 squirrels. Count each group. Identify the group that has the most in numbers.,
If you have 10 red balls and someone gives you 3 green balls. How many balls will you have altogether?,0,Math,13,3,7,10,Draw 10 red balls. Beside them draw 3 green balls. Now count all the balls to get the correct answer.,
What is the answer: 2 + 3 =_____,0,Math,5,2,4,3,Use counters and put 2 out first add three more counters and count all of them to get the correct answer.,
What is the answer 1 + 6 =______,0,Math,7,1,5,6,Use counters and put 1 out first add six more counters and then account all of them to get the correct answer.,
What is the answer: 2 + 4 =_____,0,Math,6,5,3,4,Take two steps forward count one two. Then take four more steps and keep counting until you get to correct number.,
What is the answer 3 + 3 =_____,0,Math,6,5,3,7,Put 3 pencils on the table add three more pencils to the pile. Then count all pencils to get the correct answers.,
What is the answer: 4 + 1 =_____,0,Math,5,3,6,4,Draw four squares on your paper add one more square. Count all squares to get the correct answers.,
What is the answer: 5 - 1 =_____,0,Math,4,1,3,5,Put five sticks on the table. Take one away and count how many are left on the table.,
What is the answer: 6 - 2 =_____,0,Math,4,2,3,6,Draw 6 circles on a piece of paper. Cross off two circles. Count the circles that are not crossed off to get the correct answer.,
What is the answer: 7 - 1=_____,0,Math,6,7,1,5,Put 7 buttons on the table. Take one away and count how many are left on the table.,
What is the answer: 4 + 3 =_____,0,Math,7,3,5,4,Put 4 socks on the floor. Add three more socks to the pile and count them all to get the final answer.,
What is the answer: 3 + 5 =_____,0,Math,8,3,5,2,Put 3 crayons on the table. Add 5 more crayons to the pile. Count the total crayons on the table to get the final answer.,
What is the answer: 6 + 3 =______,0,Math,9,6,3,7,Draw 6 circles. Add 3 more circles. Count all the circles on the page to get the final answer.,
"What letters come between ""M and ""P""?",0,Literacy,N O,O P,M N,M N O P,"Write an alphabet line. Mark the letter ""M"" and mark the letter ""P"". Write down the letters between the two that are marked.",
"What letters come between ""W"" and ""Z""",0,Literacy,X Y,W X Y,X Y Z,W X Y Z,"Write an alphabet line. Mark the letter ""W"" and mark the letter ""Z"". Write down the letters between the ""W"" and ""Z"".",
Complete the word that represents a family pet. ___og.,0,Literacy,D,W,P,N,An easy way to reinforce word skills is through rhyming. Once a child knows one simple word adding different letters can make it a different word that is easier for kids to learn.,
Complete the word that children like to play with. ____oy.,0,Literacy,T,F,C,B,An easy way to reinforce word skills is through rhyming. Once a child knows one simple word adding different letters can make it a different word and is easy for the child to learn.,
Complete the word that is a bright colour. ___ed,0,Literacy,R,B,M,P,"This is an example of a ""sight word"" . An easy word that kids can learn by simple pronouncing and memorizing the word over and over while they commit it to memory.",
Complete the word that is a sport. Base_____,0,Literacy,Ball,Bat,runner,fall,"Simple words like ""ball"" are easy to use to finish a two symbol word.",
What is the missing letter for 1: __ne,0,Literacy,o,h,p,t,Reinforce number to word strategies by having you child trace the number and then the word for that number.,
What is the missing letter for number 2: ___wo,0,Literacy,t,S,w,e,Reinforce number to word strategies by having your child trace the number and then the word for that number.,
What is the missing letter for number 4: __our,0,Literacy,f,o,r,t,Reinforce number to word strategies by having your child trace the number and then the word for that number.,
What is the missing letter for number 5: __ive,0,Literacy,f,s,l,p,Reinforce number to word strategies by having your child trace the number and then the word for that number.,
What is the missing letter for number 7: __even,0,Literacy,s,f,l,v,Reinforce number to word strategies by having your child trace the number and then the word for that number.,
What is the missing letter for the number 8: __ight,0,Literacy,e,l,f,t,Reinforce number to word strategies by having your child trace the number and then the word for that number.,
What is the missing lettter for the number 9: __ine,0,Literacy,n,c,p,s,Reinforce number to word strategies by having your child trace the number and then the word for that number.,
What is the missing letter for the number 10: __en,0,Literacy,t,s,w,b,Reinforce number to word strategies by having your child trace the number and then the word for that number.,
"What letters come between ""G"" and ""J"" in the alphabet.",0,Literacy,H I,I J K,M N O,P Q R,"Help your child write the alphabet on a piece of paper. Mark the letter ""G"" and the letter ""J"". The two letters in the middle are the answer.",
"What letters come between ""N"" and ""R"" in the alphabet.",0,Literacy,O P Q,L M O,Q R S,P Q,"Help your child write the alphabet on a piece of paper. Mark the letter ""N"" and then mark the letter ""R"". The letters in between are the answer. Repetition of the alphabet will have your child build a good start to their reading skills.",
What can a bird do in the sky?,0,Literacy,Fly,Skip,Lay an egg,Make a nest,"The answer to this word is a ""sight word"". This means a simple one syllable word that is easy for them to memorize.",
What is round and can be tossed by person to person?,0,Literacy,ball,stick,rope,stones,"Posing questions that can be answered by a simple ""sight word"" helps reinforce their skills of understanding of literacy. Repetition is the most important strategy in helping your child get comfortable with their first word recognition.",
Counting down from 17 which number comes next?,1,Math,16,12,14,18,Using a long piece of paperwrite numbers from 1 to 100. Start at number 17 and go back 1 space to determine the answer to this question. The math equation of this problem is17-1=16. You can use this approach for all subtractioequations which are under100.,
Is 14 an even or an odd number?,1,Math,even,odd,,,Odd numbers can NOT be divided evenly into groups otwo. The number five can be divided into two groups of two and one group of one. Even numbers always end with a digit of 0 2 4 6or 8.,
What is the missing number in this sequence: 20 30 40 ___ 60 70 80,1,Math,50,45,10,90,To demonstrate this sequence create a number line based on 10’s up to 100. A number line can bemade on a piece of paper with a line separated by specific numbers. In this case each number is separated by 10. In this example go to 40 and identify the number between 40 and 60 on the line.,
What is 3 + 0?,1,Math,3,0,4,1,Using a long piece of paperwrite numbers from 1 to 100. Start at number 3 ansince 0 is added you do notmove on the line to determine the answer to this question.,
What is 6 + 2?,1,Math,8,4,12,3,Using a long piece of paperwrite numbers from 1 to 100. Start at number 6 anmove 2 more spaces on thline to determine the answer to this question. This teaches the concept of addition.,
What is 5 + 5?,1,Math,10,25,0,1,Using a long piece of paper write numbers from 1 to 100. Start at number 5 and move 5 more spaces on the line to determine the answer,
Make a number using addition: How do you make 4?,1,Math,2+2,1+2,4+1,4-1,Using a long piece of paperwrite numbers from 1 to 100. Start at the number and look at each answer tosee if any combination of numbers bring you to 4. Using a long piece of paperand write numbers from 1 to 100. In this example start at 7 move back 5 spaces which will give the correct number.																																													,
Fill in the missing number: __ + 5 = 7,1,Math,2,7,3,12,7-5=2 therefore 2+5=7 Use the doubles fact 5 + 5,
Add using double numbers plus one:,1,Math,11,2,10,30,Use the doubles fact 5+5. One way to look at it is subtract one before you look at what would be half!,
5 + 6 = ___,1,Math,11,10,9,12,The correct answer is 11. Create a number line using a long piece of paper and write the numbers from 1 to 100.  Mark the first number and count and mark the second number.   The second number is the solution.,
Add 3 numbers: 2+3+4=,1,Math,9,5,14,12,Create a number line using a long piece of paper and write the numbers from 1 to 100.  Mark the first number and count and mark the second number.   Count the third number along the line and the answer will be the final number on the line you marked.,
What is 7 – 1 =,1,Math,6,8,0,7,Create a number line using a long piece of paper and write the numbers from 1 to 100.  Mark the highest number in the equation and count backwards by the second number to determine the answer.,
What is 12 – 5 =,1,Math,7,5,17,6,Create a number line using a long piece of paper and write the numbers from 1 to 100.  Mark the highest number in the equation and count backwards by the second number to determine the answer.,
Divide 8 by 4,1,Math,2,4,8,0,Take 8 counters and separate them into groups of 2.. Count the number of groups.,
Divide 50 by 5,1,Math,10,5,50,1,Create a number line with 5’s as the integers. Determine how many fives make up 50.,
If 5 + 4 = 9 then 9 – 5 =,1,Math,4,14,5,9,Use fact families.,
Subtract multiples of 10: 80 – 40 =,1,Math,40,12,20,10,Use number doubles,
Which statement is true 5 __ 10,1,Math,5 is less than 10,5 is equal to 10,5 is greater than 10,,Use a number line. ,
Olivia’s desk drawer has 4 markers and 3 coloured pencils. How many more markers than coloured pencils are in Olivia’s drawer?,1,Math,1,7,4,12,Try drawing out this question for a visual support while using a number line. ,
There were 7 frogs in a pond. 4 of the frogs hopped away. What fraction of the frogs were left?,1,Math,3/7,4/7,1/2,3/4,Try drawing out this question for a visual support while using a number line. ,
Name the two-dimensional shape: Which shape has 3 sides?,1,Math,triangle,square,rectangle,trapezoid,A triangle is the only shape with three sides. Try drawing this! ,
Which is heavier?,1,Math,elephant,feather,person,basketball,An elephant would weigh the most as its larger.,
How much is a quarter worth expressed in cents?,1,Math,25,5,1,10,A quarter is worth 25 cents. ,
Alexa has 3 dimes and 4 nickels in her purse. How much money does she have?,1,Math,50 cents,34 cents,7 cents,12 cents,Try drawing the coins and writing the number value beneath it. Then you can add them together to get the value!,
Which one is a question?,1,Literacy,Did you eat a snack today?,I went to school today.,I am excited for school today!,What is you favorite colour.,Questions end with a question mark,
Which one is an exclamation?,1,Literacy,Wow great job!,Tiana finished her work.,Did you finish your homework?,Richard likes pancakes.,An exclamation ends with an exclamation mark,
Find the complete sentence.,1,Literacy,Josh plays.,Works hard.,Walks quietly.,Jumps high.,A sentence has a subject and a verb,
Complete the sentence ______ plays with a ball and string.,1,Literacy,A cat,Cats,Some cats,Lots of cats,The subject and the verb have to agree.,
Complete the sentence with the proper prefix. Lisa has a sore throat she is not well. Lisa has a sore throat she is __well.,1,Literacy,Un,Pre,In,De,Un means not pre means before,
Which is louder?,1,Literacy,Yelling,Talking loud,Talking,Whispering,Yelling is the loudest,
Identify the word that must be capitalized. Today ben read the prayer in class.,1,Literacy,Ben,Prayer,Class,Read,Proper names are capitalized.,
Complete this sentence. The books ____ for my brother.,1,Literacy,Are,Is,Is not,Has,The subject and the verb must agree.,
Which words are set in alphabetic order?,1,Literacy,Bike cars plane truck,Truck plane cars bike,Cars truck bike plane,Plane bike truck cars,Alphabetic order –the words must follow ABCD etc.,
Which set of letters are in alphabetic order?,1,Literacy,defghi,jklnm,lnopq,cdghil,Alphabetic order –the words must follow ABCD etc.,
Which word is not like the other,1,Literacy,dog,warm,hot,cold,Dog does not belong as it is an animal the other words describe temperature,
How would a helpless person feel?,1,Literacy,Sad,Cheerful,Afraid,Happy,This sentence infers an emotion,
Which one is a demand?,1,Literacy,Brush your teeth before bed.,Excellent work!,You did a great job!,Happy birthday!,The first sentence indicates an exclamation by the exclamation mark.,
Match the contractions to the word. Won’t,1,Literacy,Will not,will,won,Will never,A contraction is a shortened word or phrase that combines two or more words by dropping one or more letters and using an apostrophe to indicate the place of the missing letters.The contraction in this question omits the ‘o’ in not.,
Complete the sentence with the best contraction. I wanted to play with my friends but ___ not at school today.,1,Literacy,They’re,She’s,They’ll,He's,A contraction is a shortened word or phrase that combines two or more words by dropping one or more letters and using an apostrophe to indicate the place of the missing letters. The contraction is they’re-they are – referring to friends (plural),
Complete the sentence in the past tense. The dog _____out of the yard.,1,Literacy,Ran,Run,Runs,Running,Ran is past tense of runs.,
Which sentence tells us about the past?,1,Literacy,We played soccer in the field.,We play soccer in the fields.,We plays soccer in the field. ,We play soccer in the field.,"The past tense will usually place an ""ed"" at the end of the verb as an indicator.",
Complete the sentence with the best conjunction. Josh ____ Jake are the best soccer players.,1,Literacy,And,As,Is ,Or,Is and as are verbs. Conjunction is a connecting word therefore is and.,
Which one is an exclamation?,1,Literacy,You did an awesome job!,Where is your school?,We went for a walk.,My favourite colour is pruple.,An exclamation ends with an exclamation mark indicating excitement or emphasis on the phrase/sentence.,
Find the complete sentence.,1,Literacy,Grandpa bakes.,Run faster.,Her dog,His pencil.,A complete sentence must have a subject and a verb. The first sentence does not have a verb.  A verb is a class of words that function as the main elements of predicates that typically express action state or a relation between two things and that may be inflected for tense aspect voice mood and to show agreement with their subject or object.,
Complete the sentence. The birds____ building a nest.,1,Literacy,Were,Was,What,Is,Were-plural verb form of to be.,
Type the missing number: 30 35 40 __ 50 55 60,2,Math,45,65,20,25,Create a number line on a piece of paper and mark numbers at every 5 spaces.. Have your child follow the number line to find the number at the 5 mark between 40 and 50.,
Is 9 an even or an odd number?,2,Math,Odd,Even,Number,Nine,An even number is a number that can be divided into two equal groups. An odd number is a number that cannot be divided into two equal groups. Even numbers end in 2 4 6 8 and 0 regardless of how many digits they have (we know the number5 917 624 is even because it ends in a 4!). Odd numbers end in 1 3 5 7 9.,
Which odd number comes before: __ 5 7 9,2,Math,3,2,1,4,An even number is a number that can be divided into two equal groups. An odd number is a number that cannot be divided into two equal groups. Even numbers end in 2 4 6 8 and 0 regardless of how many digits they have (we know the number 5 917 624 is even because it ends in a 4!). Odd numbers end in 1 3 5 7 9.,
Count forward by tens from 40: 40 __ __ __,2,Math,50 60 70,10 20 30,45 50 55,45 55 65,Create a “10’s” number line by drawing a line on a piece of paper marking every 10 space ie. 10 20 30 40…… Have your child start at 40 and identify the next 3 numbers represented on the 10’s line.,
"Which words makes this statement true? 38 is ""greater than""  ""is less than""  ""is equal to 34"" ",2,Math,greater than,less than,equal to,,Create a number line on paper marking numbers from 1 to 50. Ask your child to find the number 38 first then find the number 34. Show them that 34 comes first and therefore must be less than 38.,
Put these numbers in order from greatest to least: 34 19 28,2,Math,34 28 19,34 19 28,19 28 34,19 34 28,Create a number line on paper marking numbers from 1 to 50. Have your child mark the three numbers in this question and have them demonstrate the order of the numbers.,
What is the eighth word in this sentence? Early to bed and early to rise makes a man healthy wealthy and wise.,2,Math,makes,a,man,rise,Count each word to the number 8.,
How do you write the number fourteen using digits?,2,Math,14,17,11,13,Write numbers from 1 – 20. Have your child count to fourteen to see the number demonstrated.,
Roman numerals: What number does this Roman numeral represent? XV,2,Math,15,50,20,30,Roman numeral X = 10 and roman numeral V=5 therefore XV=1 for the 10 and 5 for the V totaling 15.,
The Toronto Zoo has 7 adult elephants and 8 baby elephants. How many elephants are there in all?,2,Math,15,12,17,14,Create a number line on a piece of paper marking numbers from 1 – 25. Have your child count to 7 and then count 8 more spaces landing on the number 15.,
Paul bought 13 brownies but 5 were stale and had to be thrown away. How many brownies does Paul have now?,2,Math,8,10,18,12,Create a number line on a piece of paper marking numbers from 1 – 25. Have your child count to 13 and then count back 5 spaces landing on the number 8.,
What fact is missing from this fact family? 14+6=20 6+14=20 20-14=6,2,Math,20-6=14,4+6=10,20+14=34,20+6=26,Fact Families are sets of three numbers that can be added and. subtracted or divided and multiply together,
In this problem what is 16? 12+4=16,2,Math,sum,difference,product,quotient,The sum is achieved by the adding two or more numbers. or The sum is the answer in an addition question.,
48 is 4 tens plus 8 ones. Which is another way to make 48?,2,Math,3 tens plus 18 ones,3 tens plus 8 ones,5 tens plus 7 ones,3 tens plus 7 ones,10 ones equal one ten. Using counters make groups of 10 and put together 4 groups to represent the 40 and 8 single counters to make 48. Have your child break them up into the groups in this question and have them identify what they can use to get to 48.,
thirty-five = ___ tens and ___ ones,2,Math,3 tens 5 ones,30 tens,2 tens 15 ones,5 tens,10 ones equal one ten. Using counters make groups of 10 and put together 3 groups to represent the 30 and 5 single counters to make 35.,
What is 66 rounded to the nearest ten?,2,Math,70,65,60,100,Create a number line with markers from 1 – 100. Ask your child to find the number 66 and then show them where the 60 and the 70 fall on the line and ask them to identify which number the 66 is closer to.,
I have a one in the ones place. I am greater than 75 but less than 91. What number am I?,2,Math,81,71,91,80,Create a number line with markers from 1 – 100. We know from the question that the number must end in a 1. Have your child find the number 75 and the number 91. Ask them which number ending in a 1 is between these two numbers.,
What is not equal to 6 dimes?,2,Math,2 dimes 2 nickels,2 quarters 2 nickels,1 dimes and 10 nickels,3 dimes and 6 nickels,Introduce the value of each coin to your child. Using a number line ask your child to put together the various coin groups on the line.,
Bob had 50¢ until he spent 4 nickels. How much money does Bob have now?,2,Math,$0.30,$0.45,$0.40,$0.25,Introduce the value of each coin to your child. Create a number line on paper with markers at every 5 spaces (representing the nickel). Have your child start at 50 and move back 5 four times.,
Jacob started reading his new magazine at 3:00. He read the entire magazine in 2 hours. What time was it when Jacob finished reading?,2,Math,5:00,6:00,3:30,1:00,This question uses simple addition strategies.,
How many days are in a normal year (not a leap year)?,2,Math,365,300,366,52,There are 7 days in a week and 52 weeks in a year. Create a multiplication chart which can be used for these types of equations. Put number 1-60 across the top. Numbers 1 -20 down the side. Under each number across the top multiply by the number on the row as you move down the side.,
Which is a better estimate for the volume of a dose of cough syrup?,2,Math,14 millilitres,14 Gallons,14 litres,14 kilolitres,A large pop bottle has 2 litres of pop; If you do a real life example of putting the pop bottle beside 14 millilitres of liquid it would demonstrate the obvious which is that you would never take a pop bottle (times 7 in this example) of cough medicine.,
A tent is 7 metres wide and 12 metres long. What is its perimeter?,2,Math,38 m,84 m,14 m,24 m,Perimeter = side + side + side + side,
Multiply 9 x 7,2,Math,63,16,2,7,Create a multiplication chart which can be used for all these types of equations. For this grade a simple table will suffice. Put number 1-50 across the top. Numbers 1 -20 down the side. Under each number,
Select the correct pronoun to complete the sentence. The dog ran away from ____.,2,Literacy,Her,She,They,He,In this case the pronoun she/her is the object of the sentence therefore her,
Select the correct pronoun to complete the sentence. Ben and ____ played video games last night.,2,Literacy,I,Me,We,Him,"Use ""I"" in this sentence to properly refer to yourself (pronoun)  ",
Which tense does the sentence use? Lisa and Kate played in the park.,2,Literacy,Past tense,Present tense,Future tense,Current Tense,Regular verbs in the past tense end in ‘ed’,
Which closing is correct?,2,Literacy,Yours truly Ben,yours truly Ben,Yours Truly Ben,yours truly ben,Yours is the first word in the complimentary close and needs to be capitalized. Ben is a name and needs to be capitalized,
Which word is a synonym of cry,2,Literacy,Sob,Laugh,Crypt,Cryo,A synonym is a word that means the same as another word,
Which sentence is correct?,2,Literacy,We begin school the day after Labour Day.,We begin school the day after labour day,We begin school the day after Labour day.,we beign school the day after Labour Day.,The name of the holiday is ‘Labour Day’ as it is a name it must be capitalized.,
Which sentence is correct?,2,Literacy,My mom eats cheese from France.,My mom eats Cheese from France.,My mom eats Cheese from france.,my mom eats cheese from france.,Countries are capitalized the word cheese refers to all cheese not a specific cheese therefore it is not capitalized. If the cheese were a specific cheese such as Brie or Cheddar it would be capitalized.,
Which closing is correct?,2,Literacy,Your cousin Jake,your cousin Jake,Your Cousin Jake,your cousin jake,Your is the beginning of the complimentary closing and must be capitalized. The word cousin is a common noun so no capital. Jake is a name and names are capitalized.,
Which sentence is correct?,2,Literacy,I saw a lamb at the Markham Fair.,I saw a lamb at the Markham fair.,I saw lamb at the markham fair.,i saw a lamb at the Markham Fair.,‘Markham Fair’ is the name of the venue therefore it is capitalized.,
Choose the word that best describes the verb in bold. I ______waved good bye to my best friend,2,Literacy,Sadly,Sad,Saddest,Was Sad,Adverbs describe the verb (action word) they often end with  ‘ly’.,
Complete the sentence with the verb in past tense. Ashley _______she was late.,2,Literacy,Knew,Knows,Knews,Know,The past tense of ‘to know’ is ‘knew’ Ashley is 3rd person singular if it were present tense ‘knows’ would be correct but the sentence is past tense.,
Complete the sentence with the correct past tense form of to be. Melanie ___ on the swim team last year.,2,Literacy,Was,Went,Isn’t,Is,"In this sentence the correct past tense word would be ""was"". If it was in the present the word would be ""is""",
Complete the sentence with the verb in past tense. The children ____for a walk.,2,Literacy,Went,Was,Are going,Is Going,The correct verb in this case is ‘to go”. This verb in the past tense is ‘went’.,
Select the one word that makes up the subject. Cats like to drink milk.,2,Literacy,Cats,Drink,Milk,To drink,The subject of a sentence refers to the noun (person place or thing) that is doing the action.,
Select the pronoun. I like to bake cookies.,2,Literacy,I,bake,like,to,A pronoun is a word that takes the place of a noun (person place or thing). In this sentence it is the word ‘I’,
Find the one noun.,2,Literacy,Car,Driving,Stop,Here,A noun is a person place or thing.,
Which is a complete sentence?,2,Literacy,The cat has soft fur.,My cat's soft fur,My cat’s fur.,The cat’s soft fur.,A complete sentence must have a subject and a verb. The other answers do not have a verb. In the correct answer the verb is ‘has’.,
Complete the sentence with the correct possessive pronoun. Those video games belong to us. They are _____video games.,2,Literacy,our,my,mine,us,The correct pronoun in the second sentence must refer back to the pronoun in the first sentence which is ‘first person plural’. Us-our,
Which correctly shows the title of a book?,2,Literacy,In the Shadow of the Moon,in the Shadow of the Moon,In The Shadow Of The Moon,In The Shadow of The Moon,Words with less than five letters are generally lowercase in titles unless they are the first or last words in a title. Generally we do not capitalize: Articles: a an the. Coordinating Conjunctions: and but or for nor etc.,
Which word is a synonym of cat?,2,Literacy,Kitty,Kitten,Pet,soft,Synonym is a word that has a similar meaning.,
Complete the sentence with the correct homophone. Are _____parents going with them?,2,Literacy,their,they’re,there,thare,Homophones are words that sound alike but are spelled differently and have different meanings.,
"Is the word ""silly"" in the following sentence an adjective or an adverb? Sally was playing silly games.",2,Literacy,Adjective,Adverb,Verb,Noun,The word silly describes the word games which is a noun and nouns are described by adjectives. Adverbs describe verbs (action words),
What does a ruler measure?,2,Science,The length of an object,How much time has passed,How heavy an object is,How fast an object moves, Rulers measure how long something is!,
When you ____ you make a good guess about what will happen.,2,Science,Predict,Look,Measure,Data, Another name for a good guess is called a prediction!,
We use a magnifying glass to communicate.,2,Science,False ,True ,,, You see through magnifying glasses!,
Helen wants to measure the volume of milk her sister drinks. What tool should she use?,2,Science,A measuring cup,A ruler,A scale,A test tube, Pick the object that can measure and hold a liquid!,
To _____ is to group things by what they have in common.,2,Science,Classify,Revolve,Guess,Colour,To classify is another way to say to sort.,
What is a scientist?,2,Science,A person who studies things in their world,A person who teaches language,A person who writes stories,A person who collects bugs, Scientists ask questions and test the world around themselves!,
What is a model?,2,Science,A drawing or figure that shows the parts of something and/or how it works,A plan for building something,A set of problem-solving skills,Clay, Models help to show parts of things and/or how they work!,
A butterfly emerges from a(n) ________.,2,Science,Chrysalis,Cocoon,Egg,Cave, Think about where caterpillars change into butterflies.,
Which is the first step in the life cycle of an insect?,2,Science,Egg,Larvae,Pupa,Adult, They have to hatch from this first!,
Which are characteristics of mammals?,2,Science,Hair and fur,Fins and gills,Scales and gills,Antenna and legs, Compare two mammals like humans and bears. Which do they have in common?,
Plants make their own food in their leaves. What is the food they make called?,2,Science,Sugar,Sap,Seeds,Carbon dioxide, They make a sweet substance that you like to eat as well!,
Some animals _______ themselves to blend in with their habitat.,2,Science,Camouflage,Hibernate,Migrate,Metamorphose, Animals do this to hide with their surroundings.,
Animals use different body parts to function. Legs  ____ and wings help animals move.,2,Science,Fins,Gills,Lungs,Scales, Think about a fish and which body part help them swim.,
What are the 3 states of matter?,2,Science,Solid liquid and gas,Solid mass and volume,Solid liquid and mass,Earth fire and water, The 3 states of matter are solid liquid and gas!,
_______ is a change from solid to liquid.,2,Science,Melting,Freezing,Evaporating,Condensating, Think about what ice (solid) does when it sits outside on a hot day!,
A _____ has a definite shape. It does not take the shape of its container.,2,Science,Solid,Gas,Liquid,Water, Compare an apple (solid) water (liquid) and oxygen (gas) in a sealed container. What happens to each in the container? Does it take the shape of it?,
Water can exist in all 3 states of matter.,2,Science,True ,False ,Only 2 States,Only 1 State, Think about ice rain and clouds! Are these examples of water in the 3 states?,
Which is an example of water as a liquid?,2,Science,Rain,Snow,Ice,Clouds, Liquids are substances that can flow and are usually wet!,
Two wheels can be attached using a(n) _____ to make a simple machine.,2,Science,Axle,Spin,Ramp,Inclined plane, This can be added to wheels to create the simple machine wheel and axle!,
What is another name for a ramp?,2,Science,Inclined plane,Pulley,Wheel,Axle, Think of a wheelchair ramp! It's on a slant which means it's inclined!,
What type of simple machine is found on a water bottle cap?,2,Science,Screw,Lever,Pulley,Wheel and axle, Think about how you open and close the cap of the bottle!,
Suzy is using a screwdriver to open a can of paint. The screwdriver is being used as a(n) _________.,2,Science,Lever,Pulley,Screw,Wheel and axle, A lever is used for lifting or moving an object!,
This simple machine is a bar that pivots around a fulcrum (a fixed point) and can change its direction of motion.,2,Science,Lever,Gear,Wedge,Machine, This is the definition of a lever!,
Which is not a type of simple machine?,2,Science,Spring,Screw,Pulley,Inclined plane, The 6 simple machines are inclined planes / pulleys / wedges / screws / levers / wheels / axles.,
The sun warms up the water in lakes oceans and rivers turning it into water vapour. Which stage of the Water Cycle is this?,2,Science,Evaporation,Condensation,Precipitation,Runoff/collection,Evaporation happens when we boil water and becomes steam. The same thing happens in this scenario,
After the water vapour rises up it _______ and turns water droplets into clouds.,2,Science,Cools,Heats up,Rains,Stays the same, What happens to water during condensation? Does the vapour coo down or heat up?,
_______ is called wind.,2,Science,Moving air,Moving water,Still air,Shining light,Wind means the movement of air. We see this when tree branches move when it is windy. ,
Rain snow hail and sleet are all examples of precipitation.,2,Science,True ,False ,,,Precipitation is water that falls from the clouds towards the ground like rain and snow.,define precipitation
Icebergs and glaciers are examples of solid salty water.,2,Science,False ,True ,,, Glaciers and icebergs hold freshwater!,
The part of the Water Cycle where water runs downhill to form lakes and oceans is called?,2,Science,Runoff/collection,Precipitation,Evaporation,Condensation, The water runs off and is collected in lakes and oceans!,
Which number comes next in the pattern 3 6 9 12 __?,3,Math,15,16,18,20,3+3=6 6+3=9 9+3=12 so 12+3=15,
Which number is equal to 4000 + 70 + 3,3,Math,4073,4730,473,4703,Add them together keep in mind the ones tens 	tens hundreds 	thousands colum,
Round 3372 to the nearest hundred,3,Math,3400,3000,3300,4000,Look at the number in the tens column. If the number is 5-9 round the hundreds column up by one,
